year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2021,National University of Singapore,NUS Business School,Bachelor of Business Administration,94.7,81.6,5199,3550,5567,3700,3125,7625
2021,National University of Singapore,NUS Business School,"Bachelor of Business Administration
(Hons)",98.1,93.5,4828,4200,4950,4347,3700,5200
2021,National University of Singapore,NUS Business School,"Bachelor of Business Administration
(Accountancy)*",100,100,3380,3300,3515,3400,3013,3750
2021,National University of Singapore,NUS Business School,"Bachelor of Business Administration
(Accountancy) (Hons)",97,96.3,4124,3430,4194,3500,3200,4600
2021,National University of Singapore,School of Computing,"Bachelor of Computing (Computer
Science)",99.1,96.4,5898,5800,6002,6000,5000,6900
2021,National University of Singapore,School of Computing,"Bachelor of Computing (Information
Security)*",100,100,4992,5000,5095,5400,4305,5500
2021,National University of Singapore,School of Computing,"Bachelor of Computing (Information
Systems)",97.5,96.2,5087,5000,5217,5000,4500,5400
2021,National University of Singapore,School of Computing,"Bachelor of Science (Business
Analytics)",100,100,5437,5050,5603,5400,4800,6125
2021,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture)^{6},97.7,96.6,4090,4000,4139,4000,3600,4440
2021,National University of Singapore,School of Design & Environment,Bachelor of Arts (Industrial Design),87.5,75,4146,3825,4178,3825,3200,4250
2021,National University of Singapore,School of Design & Environment,"Bachelor of Science (Project and
Facilities Management)",93.1,92.1,3424,3450,3560,3500,3200,3700
